Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,24T,26T,27T,30T,32T,35T,36T,40T,44T,46T,62T,63T,75T,76T,77T,79T,80T
2017-01-01,33.0,21.0,28.0,29.0,34.0,29.0,29.0,28.0,28.0,17.0,24.0,27.0,17.0,21.0,30.0,30.0,21.0,7.0,,,,16.0,20.0,18.0,,
2017-01-02,28.0,19.0,27.0,26.5,32.0,26.5,26.5,26.0,26.0,17.0,25.0,25.0,21.0,24.0,,,11.0,9.0,,,,5.0,18.0,15.0,,
2017-01-03,31.0,19.0,32.0,29.0,34.0,29.0,29.0,28.0,28.0,22.0,28.0,36.0,15.0,19.0,13.0,13.0,12.0,6.0,,,,4.0,21.0,19.0,,
2017-01-04,37.0,21.0,34.0,32.25,37.0,32.25,32.25,28.0,28.0,32.0,35.0,49.0,22.0,24.0,19.0,19.0,10.0,5.0,37.0,,,2.0,18.0,21.0,,
2017-01-05,45.0,29.0,40.0,39.75,45.0,39.75,39.75,34.0,34.0,34.0,39.0,48.0,23.0,24.0,,,7.0,7.0,42.0,,,,12.0,29.0,,
2017-01-06,43.0,27.0,38.0,38.0,44.0,38.0,38.0,36.0,36.0,31.0,31.0,38.0,,34.0,13.0,13.0,7.0,5.0,37.0,,,5.0,10.0,20.0,,
2017-01-07,46.0,30.0,42.0,42.5,52.0,42.5,42.5,41.0,41.0,57.0,36.0,50.0,,42.0,22.0,15.0,10.0,,50.0,,,6.0,16.0,33.0,,
2017-01-08,43.0,35.0,43.0,42.5,49.0,42.5,42.5,39.0,39.0,59.0,40.0,51.0,,27.0,28.0,23.0,12.0,6.0,,,,6.0,29.0,25.0,,
2017-01-09,35.0,27.0,33.0,33.5,39.0,33.5,33.5,30.0,30.0,71.0,33.0,58.0,,20.0,28.0,28.0,16.0,10.0,,,,6.0,24.0,30.0,,
2017-01-10,36.0,38.0,41.0,41.5,51.0,41.5,41.5,45.0,45.0,79.0,14.0,30.0,,,20.0,20.0,12.0,12.0,,,,5.0,17.0,34.0,,
2017-01-11,25.0,17.0,24.0,23.75,29.0,23.75,23.75,26.0,26.0,70.0,10.0,17.0,,20.0,12.0,12.0,6.0,10.0,40.0,,,,12.0,18.0,,
2017-01-12,19.0,17.0,22.0,19.25,19.0,19.25,19.25,19.0,19.0,47.0,9.0,8.0,13.0,13.0,18.0,12.0,10.0,12.0,57.0,,,,12.0,22.0,,
2017-01-13,29.0,20.0,30.0,26.5,27.0,26.5,26.5,25.0,25.0,59.0,12.0,13.0,21.0,14.0,21.0,14.0,14.0,14.0,45.0,,,6.0,24.0,30.0,,
2017-01-14,46.0,31.0,39.0,40.0,44.0,40.0,40.0,39.0,39.0,75.0,27.0,39.0,28.0,,26.0,14.0,14.0,18.0,36.0,,,8.0,32.0,37.0,,
2017-01-15,62.0,40.0,51.0,51.75,54.0,51.75,51.75,60.0,60.0,58.0,38.0,58.0,,40.0,27.0,18.0,17.0,14.0,,,,8.0,33.0,33.0,,
2017-01-16,43.0,28.0,38.0,37.75,42.0,37.75,37.75,35.0,35.0,46.0,49.0,51.0,28.0,20.0,32.0,19.0,18.0,12.0,,,,9.0,31.0,26.0,,
2017-01-17,36.0,23.0,35.0,32.5,36.0,32.5,32.5,31.0,31.0,63.0,53.0,47.0,16.0,16.0,35.0,26.0,24.0,6.0,26.0,,,9.0,46.0,23.0,,
2017-01-18,46.0,32.0,40.0,40.0,42.0,40.0,40.0,34.0,34.0,51.0,33.0,50.0,23.0,20.0,37.0,25.0,24.0,10.0,,,,12.0,40.0,26.0,,
2017-01-19,42.0,41.0,38.0,42.0,47.0,42.0,42.0,34.0,34.0,48.0,43.0,66.0,29.0,22.0,36.0,33.0,20.0,,37.0,,,10.0,33.0,32.0,,
2017-01-20,40.0,29.0,36.0,35.25,36.0,35.25,35.25,36.0,36.0,43.0,47.0,61.0,30.0,22.0,32.0,27.0,20.0,,24.0,,,12.0,30.0,28.0,,
2017-01-21,37.0,27.0,34.0,33.25,35.0,33.25,33.25,30.0,30.0,31.0,48.0,51.0,26.0,20.0,34.0,29.0,18.0,13.0,,,,11.0,28.0,28.0,,
2017-01-22,31.0,23.0,28.0,28.25,31.0,28.25,28.25,24.0,24.0,25.0,37.0,33.0,21.0,16.0,27.0,21.0,16.0,13.0,,,,7.0,35.0,21.0,,
2017-01-23,38.0,25.0,32.0,32.5,35.0,32.5,32.5,29.0,29.0,29.0,37.0,44.0,21.0,19.0,29.0,24.0,16.0,10.0,32.0,,,9.0,27.0,27.0,,
2017-01-24,43.0,34.0,40.0,40.75,46.0,40.75,40.75,37.0,37.0,32.0,39.0,53.0,21.0,26.0,34.0,21.0,18.0,16.0,41.0,,,9.0,31.0,30.0,,
2017-01-25,55.0,45.0,48.0,51.25,57.0,51.25,51.25,49.0,49.0,39.0,42.0,57.0,33.0,34.0,32.0,19.0,18.0,14.0,28.0,,,10.0,33.0,56.0,,
2017-01-26,35.0,32.0,32.0,35.75,44.0,35.75,35.75,29.0,29.0,33.0,34.0,54.0,16.0,16.0,30.0,15.0,22.0,9.0,,,,10.0,31.0,27.0,,
2017-01-27,38.0,27.0,35.0,35.75,43.0,35.75,35.75,32.0,32.0,37.0,36.0,44.0,17.0,20.0,33.0,20.0,16.0,,29.0,,,11.0,36.0,25.0,,
2017-01-28,45.0,29.0,39.0,39.5,45.0,39.5,39.5,39.0,39.0,42.0,41.0,44.0,20.0,23.0,32.0,24.0,17.0,,35.0,,,11.0,42.0,36.0,,
2017-01-29,58.0,47.0,53.0,55.0,62.0,55.0,55.0,57.0,57.0,80.0,44.0,53.0,,38.0,39.0,28.0,32.0,17.0,64.0,,,15.0,,42.0,,
2017-01-30,55.0,45.0,51.0,52.25,58.0,52.25,52.25,52.0,52.0,82.0,48.0,52.0,,42.0,40.0,28.0,36.0,20.0,62.0,,,16.0,47.0,55.0,,
2017-01-31,52.0,46.0,50.0,51.5,58.0,51.5,51.5,52.0,52.0,44.0,55.0,59.0,,36.0,52.0,40.0,37.0,13.0,33.0,,,17.0,57.0,48.0,,
2017-02-01,58.0,40.0,47.0,49.75,54.0,49.75,49.75,49.0,49.0,59.0,51.0,71.0,,31.0,51.0,39.0,33.0,13.0,44.0,,,17.0,48.0,41.0,,
2017-02-02,49.0,48.0,50.0,51.5,59.0,51.5,51.5,45.0,45.0,35.0,45.0,67.0,,30.0,44.0,33.0,21.0,23.0,24.0,,,17.0,45.0,31.0,,
2017-02-03,23.0,16.0,24.0,21.0,21.0,21.0,21.0,19.0,19.0,38.0,44.0,22.0,11.0,17.0,39.0,26.0,24.0,24.0,,,,13.0,37.0,23.0,,
2017-02-04,43.0,28.0,38.0,36.0,35.0,36.0,36.0,37.0,37.0,46.0,44.0,57.0,,,36.0,27.0,25.0,9.0,39.0,,,14.0,39.0,35.0,,
2017-02-05,56.0,45.0,49.0,51.75,57.0,51.75,51.75,50.0,50.0,65.0,43.0,53.0,,51.0,37.0,25.0,19.0,9.0,53.0,,,11.0,42.0,46.0,,
2017-02-06,70.0,52.0,62.0,63.0,68.0,63.0,63.0,63.0,63.0,77.0,36.0,56.0,,66.0,45.0,36.0,24.0,15.0,52.0,,,19.0,47.0,59.0,,
2017-02-07,51.0,42.0,45.0,47.5,52.0,47.5,47.5,48.0,48.0,89.0,24.0,32.0,,38.0,51.0,40.0,22.0,19.0,65.0,,,21.0,44.0,74.0,,
2017-02-08,37.0,31.0,35.0,35.25,38.0,35.25,35.25,32.0,32.0,86.0,23.0,24.0,,25.0,45.0,39.0,29.0,20.0,109.0,,,19.0,47.0,65.0,,
2017-02-09,47.0,41.0,48.0,45.75,47.0,45.75,45.75,44.0,44.0,86.0,40.0,35.0,23.0,28.0,46.0,41.0,34.0,18.0,56.0,,,23.0,51.0,60.0,,
